subject,rev,tool,time_full_suite,end-to-end,endtoend_reduction,total_tests,selected_test_classes,percent_classes_selected,changed_classes,percent_mutatants_killed, main_files, main_loc, test_files, test_loc,total_classes,percent_of_test_classes, all_test_cases,selected_test_cases,testsuite_reduction,,rev1, All1, STARTS1, Ekstazi1,,rev2, All2, STARTS2, Ekstazi2
imaging,rev_49,STARTS,23.350,29.049,22.106,114,0,0,0, -,360,31317,150,7421,510,29.41176471,578, ,#VALUE!,,rev_1,24.201,31.017,24.923,,rev_1,22.499,27.081,23.693
imaging,rev_49,Ekstazi,23.240,8.473,22.875,114,0,0,0, -,360,31317,150,7421,510,29.41176471,578,0,1,,rev_2,24.042,8.08,8.987,,rev_2,22.437,8.396,7.959
asterisk,rev_3,STARTS,22.669,6.784,22.369,46,0,0,0,,737,51174,58,4959,795,7.295597484,252, ,#VALUE!,,rev_3,22.778,6.796,9.047,,rev_3,22.559,6.772,8.057
asterisk,rev_9,STARTS,23.110,7.829,22.771,46,0,0,0,,737,51170,58,4959,795,7.295597484,252, ,#VALUE!,,rev_4,23.767,7.834,10.159,,rev_4,22.452,7.824,8.66
asterisk,rev_12,STARTS,22.857,17.578,22.088,46,0,0,0,,738,51241,58,4962,796,7.286432161,252, ,#VALUE!,,rev_5,23.142,17.568,15.431,,rev_5,22.572,17.587,14.351
asterisk,rev_17,STARTS,23.100,17.835,22.328,46,0,0,0,,738,51414,58,4962,796,7.286432161,252, ,#VALUE!,,rev_6,23.391,17.902,16.356,,rev_6,22.809,17.767,15.205
asterisk,rev_19,STARTS,22.730,9.084,22.330,46,0,0,0,,739,51412,58,4962,797,7.277289837,252, ,#VALUE!,,rev_7,22.845,7.798,9.737,,rev_7,22.614,10.369,9.161
asterisk,rev_22,STARTS,23.073,12.687,22.523,46,0,0,0,,739,51411,58,4962,797,7.277289837,252, ,#VALUE!,,rev_8,23.145,11.688,9.88,,rev_8,23.001,13.686,8.795
asterisk,rev_23,STARTS,22.533,7.477,22.201,46,0,0,0,,739,51411,58,4962,797,7.277289837,252, ,#VALUE!,,rev_9,22.643,6.585,8.947,,rev_9,22.423,8.368,8.385
asterisk,rev_24,STARTS,22.792,18.083,21.998,46,0,0,0,,739,51411,58,4962,797,7.277289837,252, ,#VALUE!,,rev_10,23.14,17.494,15.342,,rev_10,22.443,18.672,14.291
asterisk,rev_33,STARTS,22.870,12.748,22.312,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_11,23.258,11.71,13.537,,rev_11,22.481,13.786,12.602
asterisk,rev_34,STARTS,23.455,10.522,23.006,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_12,24.46,9.452,9.29,,rev_12,22.449,11.592,8.154
asterisk,rev_35,STARTS,23.828,8.379,23.476,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_13,25.074,7.758,9.827,,rev_13,22.582,9,8.877
asterisk,rev_36,STARTS,23.127,8.450,22.762,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_14,23.87,7.735,9.723,,rev_14,22.384,9.164,11.512
asterisk,rev_37,STARTS,23.037,7.827,22.697,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_15,23.301,7.723,9.712,,rev_15,22.772,7.93,8.71
asterisk,rev_38,STARTS,23.165,12.628,22.619,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_16,23.748,12.795,9.004,,rev_16,22.581,12.46,8.089
asterisk,rev_39,STARTS,22.858,6.709,22.565,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_17,23.219,6.676,9.933,,rev_17,22.497,6.741,8.757
asterisk,rev_40,STARTS,23.069,7.958,22.724,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_18,23.351,8.028,9.296,,rev_18,22.787,7.887,8.043
asterisk,rev_41,STARTS,22.565,9.838,22.129,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_19,22.608,9.837,9.036,,rev_19,22.522,9.839,8.171
asterisk,rev_42,STARTS,22.613,12.052,22.080,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_20,22.865,11.957,9.114,,rev_20,22.36,12.146,8.011
asterisk,rev_43,STARTS,22.600,18.797,21.768,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_21,22.773,17.837,9.885,,rev_21,22.426,19.757,8.923
asterisk,rev_44,STARTS,22.508,7.673,22.167,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_22,22.467,6.672,9.208,,rev_22,22.548,8.673,8.022
asterisk,rev_45,STARTS,22.623,7.318,22.300,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_23,22.773,6.659,9.287,,rev_23,22.473,7.976,8.101
asterisk,rev_46,STARTS,22.540,7.593,22.203,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_24,22.615,6.722,8.927,,rev_24,22.464,8.464,8.02
asterisk,rev_47,STARTS,22.478,8.541,22.098,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_25,22.593,7.687,9.841,,rev_25,22.363,9.394,8.785
asterisk,rev_48,STARTS,22.669,18.804,21.840,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_26,22.678,17.908,9.947,,rev_26,22.66,19.699,8.797
asterisk,rev_49,STARTS,22.489,18.576,21.663,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_27,22.481,17.87,10.34,,rev_27,22.496,19.281,8.84
asterisk,rev_50,STARTS,22.648,12.067,22.115,46,0,0,0,,739,51437,58,4963,797,7.277289837,252, ,#VALUE!,,rev_28,22.61,11.933,10.235,,rev_28,22.685,12.2,8.777
imaging,rev_2,STARTS,22.492,9.193,22.083,113,0,0,0,,343,31379,146,7288,489,29.85685072,572, ,#VALUE!,,rev_30,22.467,7.785,8.934,,rev_30,22.516,10.6,7.907
imaging,rev_3,STARTS,22.515,8.584,22.133,113,1,0.884955752,0,,343,31379,147,7306,490,30,573,1,0.998254799,,rev_31,22.558,7.657,9.049,,rev_31,22.471,9.51,8.053
imaging,rev_4,STARTS,22.401,8.835,22.006,113,0,0,0,,343,31379,147,7306,490,30,573, ,#VALUE!,,rev_32,22.199,7.614,9.238,,rev_32,22.602,10.056,8.234
imaging,rev_10,STARTS,22.457,7.411,22.126,113,0,0,0,,343,31294,148,7343,491,30.14256619,574, ,#VALUE!,,rev_33,22.263,6.567,8.99,,rev_33,22.65,8.255,8.059
imaging,rev_11,STARTS,22.598,7.669,22.259,113,0,0,0,,343,31294,148,7343,491,30.14256619,574, ,#VALUE!,,rev_34,22.563,6.724,9.228,,rev_34,22.633,8.614,8.047
imaging,rev_15,STARTS,22.499,7.555,22.163,113,0,0,0,,343,31323,149,7358,492,30.28455285,575, ,#VALUE!,,rev_35,22.315,6.775,9.148,,rev_35,22.682,8.335,8.086
imaging,rev_16,STARTS,22.822,7.245,22.504,113,0,0,0,,343,31323,149,7358,492,30.28455285,575, ,#VALUE!,,rev_36,22.342,6.598,8.956,,rev_36,23.301,7.891,8.117
imaging,rev_21,STARTS,22.572,7.442,22.242,113,0,0,0,,343,31282,149,7354,492,30.28455285,575, ,#VALUE!,,rev_37,22.608,6.662,9.217,,rev_37,22.536,8.222,8.058
imaging,rev_22,STARTS,22.482,7.670,22.141,113,0,0,0,,343,31282,149,7354,492,30.28455285,575, ,#VALUE!,,rev_38,22.399,6.752,8.976,,rev_38,22.565,8.587,8.091
imaging,rev_23,STARTS,22.568,6.925,22.261,113,0,0,0,,343,31282,149,7354,492,30.28455285,575, ,#VALUE!,,rev_39,22.476,6.67,9.087,,rev_39,22.659,7.179,8.058
imaging,rev_24,STARTS,22.682,7.039,22.372,113,0,0,0,,343,31282,149,7354,492,30.28455285,575, ,#VALUE!,,rev_40,22.61,6.916,9.12,,rev_40,22.754,7.161,8.038
imaging,rev_25,STARTS,22.600,7.894,22.251,113,0,0,0,,343,31282,149,7354,492,30.28455285,575, ,#VALUE!,,rev_41,22.717,7.064,9.106,,rev_41,22.483,8.724,8.08
imaging,rev_26,STARTS,22.694,7.472,22.365,113,0,0,0,,343,31282,149,7354,492,30.28455285,575, ,#VALUE!,,rev_42,22.633,6.931,9.395,,rev_42,22.755,8.012,7.994
imaging,rev_28,STARTS,22.497,7.654,22.156,113,0,0,0,,343,31297,149,7354,492,30.28455285,575, ,#VALUE!,,rev_43,22.45,6.898,9.338,,rev_43,22.543,8.41,8.043
imaging,rev_29,STARTS,22.508,7.397,22.179,113,0,0,0,,343,31297,149,7354,492,30.28455285,575, ,#VALUE!,,rev_44,22.373,6.257,9.025,,rev_44,22.642,8.536,7.978
imaging,rev_30,STARTS,22.417,7.604,22.078,113,0,0,0,,343,31297,149,7354,492,30.28455285,575, ,#VALUE!,,rev_45,22.433,6.478,9.308,,rev_45,22.401,8.729,8.106
imaging,rev_31,STARTS,22.517,7.429,22.187,113,0,0,0,,343,31297,149,7354,492,30.28455285,575, ,#VALUE!,,rev_46,22.533,6.325,9.069,,rev_46,22.5,8.532,8.046
imaging,rev_33,STARTS,22.515,7.592,22.178,113,0,0,0,,343,31300,149,7366,492,30.28455285,576, ,#VALUE!,,rev_47,22.296,6.825,9.164,,rev_47,22.734,8.359,8.092
imaging,rev_34,STARTS,22.649,7.953,22.297,113,0,0,0,,343,31300,149,7366,492,30.28455285,576, ,#VALUE!,,rev_48,22.631,7.994,8.882,,rev_48,22.666,7.912,7.972
imaging,rev_36,STARTS,22.572,7.876,22.223,114,0,0,0,,343,31300,150,7382,493,30.42596349,577, ,#VALUE!,,rev_49,22.535,7.113,9.121,,rev_49,22.608,8.639,8.018
imaging,rev_37,STARTS,23.441,7.654,23.114,114,0,0,0,,343,31300,150,7382,493,30.42596349,577, ,#VALUE!,,rev_50,24.097,7.009,9.147,,rev_50,22.785,8.299,8.079
imaging,rev_38,STARTS,23.779,32.507,22.411,114,0,0,0,,343,31300,150,7382,493,30.42596349,577, ,#VALUE!,,rev_1,24.588,33.23,27.316,,rev_1,22.969,31.784,24.276
imaging,rev_39,STARTS,23.173,12.859,22.618,114,0,0,0,,343,31300,150,7382,493,30.42596349,577, ,#VALUE!,,rev_2,23.23,13.064,11.486,,rev_2,23.115,12.653,10.417
imaging,rev_40,STARTS,23.890,14.665,23.276,114,0,0,0,,360,31317,150,7382,510,29.41176471,577, ,#VALUE!,,rev_3,23.225,14.358,11.557,,rev_3,24.554,14.971,10.389
imaging,rev_41,STARTS,23.420,12.767,22.874,114,0,0,0,,360,31317,150,7382,510,29.41176471,577, ,#VALUE!,,rev_4,23.364,13.139,11.598,,rev_4,23.475,12.395,10.474
imaging,rev_42,STARTS,23.354,27.955,22.157,114,0,0,0,,360,31317,150,7382,510,29.41176471,577, ,#VALUE!,,rev_5,23.341,28.046,19.349,,rev_5,23.367,27.863,17.607
imaging,rev_44,STARTS,22.987,28.253,21.758,114,0,0,0,,360,31317,150,7421,510,29.41176471,578, ,#VALUE!,,rev_6,23.022,28.011,15.376,,rev_6,22.952,28.495,14.161
imaging,rev_45,STARTS,23.306,30.051,22.016,114,0,0,0,,360,31317,150,7421,510,29.41176471,578, ,#VALUE!,,rev_7,23.013,28.317,25.99,,rev_7,23.598,31.784,24.165
imaging,rev_46,STARTS,23.341,27.949,22.144,114,0,0,0,,360,31317,150,7421,510,29.41176471,578, ,#VALUE!,,rev_8,23.099,28.528,26.085,,rev_8,23.583,27.369,24.512
validator,rev_2,STARTS,23.230,28.940,21.984,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_9,22.962,30.582,25.616,,rev_9,23.497,27.297,24.298
validator,rev_3,STARTS,22.820,12.337,22.279,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_10,22.737,13.558,10.586,,rev_10,22.903,11.116,9.529
validator,rev_4,STARTS,22.295,13.387,21.695,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_11,22.383,14.027,11.007,,rev_11,22.207,12.746,9.79
validator,rev_5,STARTS,22.611,27.871,21.378,71,71,100,0,,64,7545,84,8911,148,56.75675676,576,576,0,,rev_12,22.683,28.725,12.531,,rev_12,22.539,27.016,10.97
validator,rev_6,STARTS,22.836,27.694,21.623,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_13,22.906,28.535,15.286,,rev_13,22.766,26.852,14.498
validator,rev_7,STARTS,22.728,26.967,21.541,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_14,22.442,28.287,25.311,,rev_14,23.013,25.647,23.365
validator,rev_8,STARTS,22.932,13.520,22.342,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_15,22.621,13.298,10.609,,rev_15,23.242,13.741,9.857
validator,rev_10,STARTS,22.617,11.924,22.089,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_16,22.484,12.412,10.841,,rev_16,22.749,11.436,9.763
validator,rev_11,STARTS,22.796,27.652,21.582,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_17,22.395,27.899,25.09,,rev_17,23.196,27.405,23.943
validator,rev_16,STARTS,22.449,13.271,21.858,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_18,22.272,14.102,10.771,,rev_18,22.626,12.439,9.705
validator,rev_17,STARTS,30.276,14.439,29.799,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_19,22.218,14.552,10.763,,rev_19,38.333,14.326,10.027
validator,rev_18,STARTS,22.114,26.794,20.902,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_20,22.242,27.665,25.092,,rev_20,21.985,25.922,23.523
validator,rev_19,STARTS,22.448,13.805,21.833,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_21,22.483,12.57,10.863,,rev_21,22.412,15.039,9.661
validator,rev_20,STARTS,22.514,12.982,21.937,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_22,22.764,12.774,10.875,,rev_22,22.264,13.19,9.936
validator,rev_21,STARTS,22.293,12.774,21.720,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_23,22.172,12.605,10.77,,rev_23,22.414,12.942,9.887
validator,rev_22,STARTS,22.358,12.660,21.792,71,0,0,0,,64,7545,84,8911,148,56.75675676,576, ,#VALUE!,,rev_24,22.202,12.752,10.914,,rev_24,22.514,12.568,9.769
