rev, All, STARTS, Ekstazi
rev_1, 1, 1, 1
rev_2, 1, 0, 0
rev_3, 1, 1, 1
rev_4, 1, 0, 0
rev_5, 1, 58, 4
rev_6, 1, 60, 20
rev_7, 1, 1, 1
rev_8, 1, 59, 50
rev_9, 1, 59, 48
rev_10, 1, 0, 0
rev_11, 1, 0, 0
rev_12, 1, 60, 3
rev_13, 1, 60, 4
rev_14, 1, 60, 49
rev_15, 1, 0, 0
rev_16, 1, 0, 0
rev_17, 1, 60, 49
rev_18, 1, 1, 1
rev_19, 1, 4, 4
rev_20, 113, 90, 70
rev_21, 113, 0, 0
rev_22, 113, 0, 0
rev_23, 113, 0, 0
rev_24, 113, 0, 0
rev_25, 113, 0, 0
rev_26, 113, 0, 0
rev_27, 113, 79, 55
rev_28, 113, 0, 0
rev_29, 113, 0, 0
rev_30, 113, 0, 0
rev_31, 113, 0, 0
rev_32, 113, 60, 2
rev_33, 113, 0, 0
rev_34, 113, 0, 0
rev_35, 114, 61, 4
rev_36, 114, 0, 0
rev_37, 114, 0, 0
rev_38, 114, 0, 0
rev_39, 114, 0, 0
rev_40, 114, 0, 0
rev_41, 114, 0, 0
rev_42, 114, 0, 0
rev_43, 114, 60, 49
rev_44, 114, 0, 0
rev_45, 114, 0, 0
rev_46, 114, 0, 0
rev_47, 114, 1, 1
rev_48, 114, 114, 114
rev_49, 114, 0, 0
rev_50, 114, 2, 2
