rev, All, STARTS, Ekstazi
rev_1, 22.969, 31.784, 24.276
rev_2, 23.115,  12.653,  10.417
rev_3, 24.554,  14.971,  10.389
rev_4, 23.475,  12.395,  10.474
rev_5, 23.367,  27.863,  17.607
rev_6, 22.952,  28.495,  14.161
rev_7, 23.598, 31.784, 24.165
rev_8, 23.583,  27.369,  24.512
rev_9, 23.497,  27.297,  24.298
rev_10, 22.903,  11.116,  9.529
rev_11, 22.207,  12.746,  9.790
rev_12, 22.539,  27.016,  10.970
rev_13, 22.766,  26.852,  14.498
rev_14, 23.013,  25.647,  23.365
rev_15, 23.242,  13.741,  9.857
rev_16, 22.749,  11.436,  9.763
rev_17, 23.196,  27.405,  23.943
rev_18, 22.626,  12.439,  9.705
rev_19, 38.333,  14.326,  10.027
rev_20,  21.985,  25.922,  23.523
rev_21,  22.412,  15.039,  9.661
rev_22,  22.264,  13.190,  9.936
rev_23,  22.414,  12.942,  9.887
rev_24,  22.514,  12.568,  9.769
rev_25,  23.224,  13.160,  9.831
rev_26,  23.529,  11.340,  9.762
rev_27,  22.890,  26.247,  23.492
rev_28,  22.959,  11.587,  9.843
rev_29,  23.044,  11.753,  9.677
rev_30,  22.363,  11.179,  9.614
rev_31,  22.218,  10.949,  9.749
rev_32,  22.267,  25.321,  11.490
rev_33,  22.553,  11.241,  9.878
rev_34,  22.292,  11.091,  9.732
rev_35,  22.423,  26.539,  11.059
rev_36,  22.332,  11.018,  9.795
rev_37,  22.774,  11.131,  9.793
rev_38,  27.419,  11.188,  10.000
rev_39,  24.191,  10.990,  9.739
rev_40,  23.434,  11.010,  9.818
rev_41,  22.692,  12.735,  9.839
rev_42,  22.833,  12.797,  9.780
rev_43,  22.731,  25.707,  24.199
rev_44,  22.964,  11.187,  9.663
rev_45,  22.941,  11.114,  9.788
rev_46,  22.906,  11.255,  9.690
rev_47,  24.203,  13.303,  10.510
rev_48,  23.984,  28.153,  24.615
rev_49,  23.870,  13.506,  10.144
rev_50,  23.515,  13.677,  11.060
