rev, All, STARTS, Ekstazi
rev_1,  8.149,  10.525,  9.265
rev_2,  8.301,  5.746,  7.384
rev_3,  8.786,  5.643,  7.393
rev_4,  9.726,  5.986,  7.200
rev_5,  8.567,  8.457,  7.573
rev_6,  9.649,  5.915,  7.493
rev_7,  9.464,  5.692,  7.504
rev_8,  9.011,  5.577,  7.753
rev_9,  8.611,  7.319,  8.082
rev_10,  9.424,  5.533,  7.609
rev_11,  10.743,  5.797,  8.240
rev_12,  9.314,  7.323,  8.510
rev_13,  8.881,  8.540,  8.593
rev_14, fail, fail, fail
rev_15,  9.465,  7.726,  9.038
rev_16,  8.644,  6.375,  8.151
rev_17,  9.065,  6.345,  8.210
rev_18,  9.787,  6.359,  8.114
rev_19,  9.342,  6.489,  8.190
rev_20,  8.622,  6.301,  8.191
rev_21,  8.848,  6.311,  8.638
rev_22,  9.377,  6.200,  8.594
rev_23,  9.808,  6.250,  8.412
rev_24,  9.075,  6.570,  8.488
rev_25,  8.660,  7.610,  8.478
rev_26,  8.682,  7.454,  8.655
rev_27, fail, fail, fail
rev_28,  9.583,  7.576,  8.487
rev_29,  9.807,  6.858,  8.967
rev_30,  8.612,  6.880,  8.367
rev_31,  8.816,  5.616,  7.324
rev_32,  8.680,  5.711,  7.369
rev_33,  8.724,  5.693,  7.628
rev_34,  10.502,  5.660,  7.498
rev_35,  9.305,  5.687,  7.481
rev_36,  8.513,  6.092,  7.602
rev_37,  9.955,  5.824,  7.358
rev_38,  9.353,  5.680,  7.644
rev_39,  8.615,  6.965,  8.941
rev_40,  9.986,  6.902,  9.209
rev_41,  8.562,  6.897,  7.850
rev_42,  8.688,  7.206,  9.196
rev_43,  10.078,  5.608,  8.487
rev_44,  9.667,  6.779,  7.611
rev_45,  8.785,  6.847,  7.823
rev_46,  8.807,  6.928,  7.912
rev_47,  10.058,  5.668,  7.539
rev_48,  9.535,  5.473,  7.479
rev_49,  8.710,  5.745,  7.516
rev_50,  8.724,  7.473,  8.869
