rev, All, STARTS, Ekstazi
rev_1, 71, 71, 71
rev_2, 71, 0, 0
rev_3, 71, 0, 0
rev_4, 71, 0, 0
rev_5, 71, 71, 0
rev_6, 71, 0, 0
rev_7, 71, 0, 0
rev_8, 71, 0, 0
rev_9, 71, 3, 2
rev_10, 71, 0, 0
rev_11, 71, 0, 0
rev_12, 71, 1, 1
rev_13, 71, 1, 1
rev_14, , , 
rev_15, 71, 2, 2
rev_16, 71, 0, 0
rev_17, 71, 0, 0
rev_18, 71, 0, 0
rev_19, 71, 0, 0
rev_20, 71, 0, 0
rev_21, 71, 0, 0
rev_22, 71, 0, 0
rev_23, 71, 0, 0
rev_24, 71, 0, 0
rev_25, 71, 2, 2
rev_26, 71, 2, 2
rev_27, , , 
rev_28, 71, 1, 1
rev_29, 71, 1, 1
rev_30, 71, 2, 2
rev_31, 71, 0, 0
rev_32, 71, 0, 0
rev_33, 71, 0, 0
rev_34, 71, 0, 0
rev_35, 71, 0, 0
rev_36, 71, 0, 0
rev_37, 71, 0, 0
rev_38, 71, 0, 0
rev_39, 71, 1, 1
rev_40, 71, 2, 2
rev_41, 71, 2, 2
rev_42, 71, 2, 2
rev_43, 71, 0, 0
rev_44, 71, 1, 1
rev_45, 71, 1, 1
rev_46, 71, 1, 1
rev_47, 71, 0, 0
rev_48, 71, 0, 0
rev_49, 71, 0, 0
rev_50, 71, 22, 21
