rev, All, STARTS, Ekstazi
rev_1, 252, 252, 252
rev_2, 252, 1, 
rev_3, 252, , 
rev_4, 252, 14, 49
rev_5, 252, 35, 12
rev_6, 252, 49, 61
rev_7, 252, 14, 49
rev_8, 252, 67, 44
rev_9, 252, , 
rev_10, 252, 35, 12
rev_11, 252, 23, 22
rev_12, 252, , 
rev_13, 252, 7, 44
rev_14, 252, 3, 3
rev_15, 252, 1, 1
rev_16, 252, 26, 
rev_17, 252, , 44
rev_18, 252, 1, 
rev_19, 252, , 
rev_20, 252, 32, 
rev_21, 252, 50, 47
rev_22, 252, , 
rev_23, 252, , 
rev_24, 252, , 
rev_25, 252, 7, 44
rev_26, 252, 52, 47
rev_27, 252, 50, 47
rev_28, 252, 44, 22
rev_29, 257, fail, fail
rev_30, 252, 1, 
rev_31, 252, 1, 
rev_32, 252, 1, 
rev_33, 252, , 
rev_34, 252, , 
rev_35, 252, , 
rev_36, 252, , 
rev_37, 252, , 
rev_38, 252, , 
rev_39, 252, , 
rev_40, 252, , 
rev_41, 252, , 
rev_42, 252, , 
rev_43, 252, , 
rev_44, 252, , 
rev_45, 252, , 
rev_46, 252, , 
rev_47, 252, , 
rev_48, 252, , 
rev_49, 252, , 
rev_50, 252, , 
