rev, All, STARTS, Ekstazi
rev_1, 572, 572, 572
rev_2, 572, , 0
rev_3, 573, 1, 1
rev_4, 573, , 0
rev_5, 573, 468, 168
rev_6, 574, 471, 277
rev_7, 574, 495, 380
rev_8, 574, 469, 364
rev_9, 574, 469, 362
rev_10, 574, , 0
rev_11, 574, , 0
rev_12, 575, 470, 12
rev_13, 575, 470, 4
rev_14, 575, 470, 363
rev_15, 575, , 0
rev_16, 575, , 0
rev_17, 575, 470, 363
rev_18, 575, 1, 1
rev_19, 575, 4, 4
rev_20, 575, 512, 492
rev_21, 575, , 0
rev_22, 575, , 0
rev_23, 575, , 0
rev_24, 575, , 0
rev_25, 575, , 0
rev_26, 575, , 0
rev_27, 575, 492, 360
rev_28, 575, , 0
rev_29, 575, , 0
rev_30, 575, , 0
rev_31, 575, , 0
rev_32, 576, 471, 166
rev_33, 576, , 0
rev_34, 576, , 0
rev_35, 577, 472, 13
rev_36, 577, , 0
rev_37, 577, , 0
rev_38, 577, , 0
rev_39, 577, , 0
rev_40, 577, , 0
rev_41, 577, , 0
rev_42, 577, , 0
rev_43, 578, 472, 365
rev_44, 578, , 0
rev_45, 578, , 0
rev_46, 578, , 0
rev_47, 578, 1, 1
rev_48, 578, 578, 578
rev_49, 578, , 0
rev_50, 578, 7, 7
