rev, All, STARTS, Ekstazi
rev_1, 576, 576, 576
rev_2, 576, , 0
rev_3, 576, , 0
rev_4, 576, , 0
rev_5, 576, 576, 0
rev_6, 576, , 0
rev_7, 576, , 0
rev_8, 576, , 0
rev_9, 576, 40, 41
rev_10, 576, , 0
rev_11, 576, , 0
rev_12, 576, 12, 12
rev_13, 576, 8, 8
rev_14, fail, fail, fail
rev_15, 576, 20, 20
rev_16, 576, , 0
rev_17, 576, , 0
rev_18, 576, , 0
rev_19, 576, , 0
rev_20, 576, , 0
rev_21, 576, , 0
rev_22, 576, , 0
rev_23, 576, , 0
rev_24, 576, , 0
rev_25, 576, 20, 20
rev_26, 576, 20, 20
rev_27, fail, fail, fail
rev_28, 576, 12, 12
rev_29, 576, 8, 8
rev_30, 576, 20, 20
rev_31, 576, , 0
rev_32, 576, , 0
rev_33, 576, , 0
rev_34, 576, , 0
rev_35, 576, , 0
rev_36, 576, , 0
rev_37, 576, , 0
rev_38, 576, , 0
rev_39, 576, 21, 21
rev_40, 576, 46, 46
rev_41, 576, 37, 37
rev_42, 576, 45, 45
rev_43, 576, , 0
rev_44, 576, 12, 12
rev_45, 576, 25, 25
rev_46, 576, 21, 21
rev_47, 576, , 0
rev_48, 576, , 0
rev_49, 576, , 0
rev_50, 576, 205, 203
