rev, All, STARTS, Ekstazi
rev_1,  24.201,  31.017,  24.923
rev_2,  24.042,  8.080,  8.987
rev_3,  22.778,  6.796,  9.047
rev_4,  23.767,  7.834,  10.159
rev_5,  23.142,  17.568,  15.431
rev_6,  23.391,  17.902,  16.356
rev_7,  22.845,  7.798,  9.737
rev_8,  23.145,  11.688,  9.880
rev_9,  22.643,  6.585,  8.947
rev_10,  23.140,  17.494,  15.342
rev_11,  23.258,  11.710,  13.537
rev_12,  24.460,  9.452,  9.290
rev_13,  25.074,  7.758,  9.827
rev_14,  23.870,  7.735,  9.723
rev_15,  23.301,  7.723,  9.712
rev_16,  23.748,  12.795,  9.004
rev_17,  23.219,  6.676,  9.933
rev_18,  23.351,  8.028,  9.296
rev_19,  22.608,  9.837,  9.036
rev_20,  22.865,  11.957,  9.114
rev_21,  22.773,  17.837,  9.885
rev_22,  22.467,  6.672,  9.208
rev_23,  22.773,  6.659,  9.287
rev_24,  22.615,  6.722,  8.927
rev_25,  22.593,  7.687,  9.841
rev_26,  22.678,  17.908,  9.947
rev_27,  22.481,  17.870,  10.340
rev_28,  22.610,  11.933,  10.235
rev_29,  22.341, fail, fail
rev_30,  22.467,  7.785,  8.934
rev_31,  22.558,  7.657,  9.049
rev_32,  22.199,  7.614,  9.238
rev_33,  22.263,  6.567,  8.990
rev_34,  22.563,  6.724,  9.228
rev_35,  22.315,  6.775,  9.148
rev_36,  22.342,  6.598,  8.956
rev_37,  22.608,  6.662,  9.217
rev_38,  22.399,  6.752,  8.976
rev_39,  22.476,  6.670,  9.087
rev_40,  22.610,  6.916,  9.120
rev_41,  22.717,  7.064,  9.106
rev_42,  22.633,  6.931,  9.395
rev_43,  22.450,  6.898,  9.338
rev_44,  22.373,  6.257,  9.025
rev_45,  22.433,  6.478,  9.308
rev_46,  22.533,  6.325,  9.069
rev_47,  22.296,  6.825,  9.164
rev_48,  22.631,  7.994,  8.882
rev_49,  22.535,  7.113,  9.121
rev_50,  24.097,  7.009,  9.147
