rev, All, STARTS, Ekstazi
rev_1, 24.588, 33.230, 27.316
rev_2, 23.230,  13.064,  11.486
rev_3, 23.225,  14.358,  11.557
rev_4, 23.364,  13.139,  11.598
rev_5, 23.341,  28.046,  19.349
rev_6, 23.022,  28.011,  15.376
rev_7, 23.013,  28.317,  25.990
rev_8, 23.099,  28.528,  26.085
rev_9, 22.962,  30.582,  25.616
rev_10, 22.737,  13.558,  10.586
rev_11, 22.383,  14.027,  11.007
rev_12, 22.683,  28.725,  12.531
rev_13, 22.906,  28.535,  15.286
rev_14, 22.442,  28.287,  25.311
rev_15, 22.621,  13.298,  10.609
rev_16, 22.484,  12.412,  10.841
rev_17, 22.395,  27.899,  25.090
rev_18, 22.272,  14.102,  10.771
rev_19, 22.218,  14.552,  10.763
rev_20,  22.242,  27.665,  25.092
rev_21,  22.483,  12.570,  10.863
rev_22,  22.764,  12.774,  10.875
rev_23,  22.172,  12.605,  10.770
rev_24,  22.202,  12.752,  10.914
rev_25,  21.925,  13.284,  11.134
rev_26,  22.005,  12.678,  11.167
rev_27,  21.804,  27.430,  26.939
rev_28,  22.117,  12.493,  11.098
rev_29,  22.281,  12.607,  11.426
rev_30,  22.306,  12.703,  10.836
rev_31,  22.293,  14.367,  10.902
rev_32,  22.348,  28.206,  14.011
rev_33,  22.105,  12.474,  10.840
rev_34,  22.281,  13.403,  10.660
rev_35,  22.532,  27.708,  15.152
rev_36,  22.649,  12.515,  11.767
rev_37,  22.566,  12.616,  10.750
rev_38,  22.476,  12.484,  10.620
rev_39,  22.405,  12.716,  10.729
rev_40,  22.439,  13.308,  10.971
rev_41,  22.317,  12.675,  10.812
rev_42,  22.379,  12.669,  10.702
rev_43,  22.197,  27.579,  24.989
rev_44,  22.337,  12.474,  10.929
rev_45,  22.349,  12.522,  10.684
rev_46,  22.207,  12.921,  10.758
rev_47,  23.783,  16.066,  11.458
rev_48,  23.164,  28.993,  25.999
rev_49,  23.251,  13.773,  11.227
rev_50,  23.442,  15.314,  12.073
