rev, All, STARTS, Ekstazi
rev_1,  12.853,  16.254,  10.122
rev_2,  8.477,  7.736,  7.896
rev_3,  8.355,  7.602,  7.839
rev_4,  8.323,  7.962,  7.762
rev_5,  8.779,  10.688,  8.074
rev_6,  8.795,  7.793,  7.988
rev_7,  8.622,  7.470,  8.328
rev_8,  8.778,  8.284,  7.878
rev_9,  9.063,  9.161,  8.689
rev_10,  8.850,  7.596,  7.968
rev_11,  8.729,  7.669,  8.058
rev_12,  8.766,  9.064,  8.106
rev_13,  8.687,  9.058,  8.512
rev_14, fail, fail, fail
rev_15,  8.684,  9.158,  8.908
rev_16,  8.965,  7.644,  7.998
rev_17,  8.845,  7.617,  7.850
rev_18,  8.647,  7.734,  7.947
rev_19,  8.747,  7.599,  8.328
rev_20,  8.748,  7.642,  7.962
rev_21,  8.945,  7.663,  8.257
rev_22,  9.040,  7.899,  8.003
rev_23,  8.793,  7.509,  8.119
rev_24,  8.607,  7.508,  8.076
rev_25,  8.614,  9.120,  8.510
rev_26,  8.568,  8.909,  8.251
rev_27, fail, fail, fail
rev_28,  8.471,  8.926,  8.316
rev_29,  8.713,  8.994,  8.224
rev_30,  8.781,  9.046,  8.269
rev_31,  8.705,  8.632,  8.523
rev_32,  8.828,  7.681,  7.900
rev_33,  8.695,  7.587,  8.008
rev_34,  8.766,  8.901,  8.028
rev_35,  8.970,  7.654,  8.038
rev_36,  8.746,  7.625,  7.863
rev_37,  8.766,  8.900,  8.421
rev_38,  8.921,  7.641,  8.063
rev_39,  8.697,  10.538,  8.412
rev_40,  8.727,  9.418,  8.559
rev_41,  8.993,  9.150,  8.355
rev_42,  8.697,  9.282,  8.622
rev_43,  8.840,  7.978,  8.555
rev_44,  8.768,  9.064,  8.381
rev_45,  8.888,  8.978,  8.390
rev_46,  8.679,  9.260,  8.524
rev_47,  8.798,  7.776,  8.355
rev_48,  8.969,  7.803,  8.196
rev_49,  8.658,  7.853,  8.512
rev_50,  8.939,  9.908,  9.379
