subject,rev,tool,testsuite_reduction
asterisk,rev_10,STARTS,0.861111111
asterisk,rev_10,Ekstazi,0.952380952
asterisk,rev_11,STARTS,0.908730159
asterisk,rev_11,Ekstazi,0.912698413
validator,rev_12,STARTS,0.979166667
validator,rev_12,Ekstazi,0.979166667
imaging,rev_12,STARTS,0.182608696
imaging,rev_12,Ekstazi,0.979130435
asterisk,rev_13,STARTS,0.972222222
asterisk,rev_13,Ekstazi,0.825396825
imaging,rev_13,STARTS,0.182608696
imaging,rev_13,Ekstazi,0.993043478
validator,rev_13,STARTS,0.986111111
validator,rev_13,Ekstazi,0.986111111
asterisk,rev_14,STARTS,0.988095238
asterisk,rev_14,Ekstazi,0.988095238
imaging,rev_14,STARTS,0.182608696
imaging,rev_14,Ekstazi,0.368695652
asterisk,rev_15,STARTS,0.996031746
asterisk,rev_15,Ekstazi,0.996031746
validator,rev_15,STARTS,0.965277778
validator,rev_15,Ekstazi,0.965277778
asterisk,rev_16,STARTS,0.896825397
imaging,rev_17,STARTS,0.182608696
imaging,rev_17,Ekstazi,0.368695652
asterisk,rev_18,STARTS,0.996031746
imaging,rev_18,STARTS,0.99826087
imaging,rev_18,Ekstazi,0.99826087
imaging,rev_19,STARTS,0.993043478
imaging,rev_19,Ekstazi,0.993043478
asterisk,rev_2,STARTS,0.996031746
asterisk,rev_20,STARTS,0.873015873
imaging,rev_20,STARTS,0.109565217
imaging,rev_20,Ekstazi,0.144347826
asterisk,rev_21,STARTS,0.801587302
asterisk,rev_21,Ekstazi,0.813492063
asterisk,rev_25,STARTS,0.972222222
asterisk,rev_25,Ekstazi,0.825396825
validator,rev_25,STARTS,0.965277778
validator,rev_25,Ekstazi,0.965277778
asterisk,rev_26,STARTS,0.793650794
asterisk,rev_26,Ekstazi,0.813492063
validator,rev_26,STARTS,0.965277778
validator,rev_26,Ekstazi,0.965277778
asterisk,rev_27,STARTS,0.801587302
asterisk,rev_27,Ekstazi,0.813492063
imaging,rev_27,STARTS,0.144347826
imaging,rev_27,Ekstazi,0.373913043
asterisk,rev_28,STARTS,0.825396825
asterisk,rev_28,Ekstazi,0.912698413
validator,rev_28,STARTS,0.979166667
validator,rev_28,Ekstazi,0.979166667
validator,rev_29,STARTS,0.986111111
validator,rev_29,Ekstazi,0.986111111
asterisk,rev_30,STARTS,0.996031746
validator,rev_30,STARTS,0.965277778
validator,rev_30,Ekstazi,0.965277778
asterisk,rev_31,STARTS,0.996031746
asterisk,rev_32,STARTS,0.996031746
imaging,rev_32,STARTS,0.182291667
imaging,rev_32,Ekstazi,0.711805556
imaging,rev_35,STARTS,0.181975737
imaging,rev_35,Ekstazi,0.977469671
validator,rev_39,STARTS,0.963541667
validator,rev_39,Ekstazi,0.963541667
asterisk,rev_4,STARTS,0.944444444
asterisk,rev_4,Ekstazi,0.805555556
validator,rev_40,STARTS,0.920138889
validator,rev_40,Ekstazi,0.920138889
validator,rev_41,STARTS,0.935763889
validator,rev_41,Ekstazi,0.935763889
validator,rev_42,STARTS,0.921875
validator,rev_42,Ekstazi,0.921875
imaging,rev_43,STARTS,0.183391003
imaging,rev_43,Ekstazi,0.368512111
validator,rev_44,STARTS,0.979166667
validator,rev_44,Ekstazi,0.979166667
validator,rev_45,STARTS,0.956597222
validator,rev_45,Ekstazi,0.956597222
validator,rev_46,STARTS,0.963541667
validator,rev_46,Ekstazi,0.963541667
imaging,rev_47,STARTS,0.998269896
imaging,rev_47,Ekstazi,0.998269896
imaging,rev_48,STARTS,0.0
imaging,rev_48,Ekstazi,0.0
asterisk,rev_5,STARTS,0.861111111
asterisk,rev_5,Ekstazi,0.952380952
imaging,rev_5,STARTS,0.183246073
imaging,rev_5,Ekstazi,0.706806283
validator,rev_50,STARTS,0.644097222
validator,rev_50,Ekstazi,0.647569444
imaging,rev_50,STARTS,0.987889273
imaging,rev_50,Ekstazi,0.987889273
asterisk,rev_6,STARTS,0.805555556
asterisk,rev_6,Ekstazi,0.757936508
imaging,rev_6,STARTS,0.179442509
imaging,rev_6,Ekstazi,0.517421603
asterisk,rev_7,STARTS,0.944444444
asterisk,rev_7,Ekstazi,0.805555556
imaging,rev_7,STARTS,0.137630662
imaging,rev_7,Ekstazi,0.337979094
imaging,rev_8,STARTS,0.182926829
imaging,rev_8,Ekstazi,0.365853659
asterisk,rev_8,STARTS,0.734126984
asterisk,rev_8,Ekstazi,0.825396825
imaging,rev_9,STARTS,0.182926829
imaging,rev_9,Ekstazi,0.369337979
validator,rev_9,STARTS,0.930555556
validator,rev_9,Ekstazi,0.928819444
