subject,rev,tool,endtoend_reduction
asterisk,rev_10,STARTS,7.668
asterisk,rev_10,Ekstazi,8.096
asterisk,rev_11,STARTS,22.251
asterisk,rev_11,Ekstazi,22.311
validator,rev_12,STARTS,23.114
validator,rev_12,Ekstazi,22.694
imaging,rev_12,STARTS,22.144
imaging,rev_12,Ekstazi,22.155
asterisk,rev_13,STARTS,8.008
asterisk,rev_13,Ekstazi,8.346
imaging,rev_13,STARTS,22.156
imaging,rev_13,Ekstazi,22.13
validator,rev_13,STARTS,21.623
validator,rev_13,Ekstazi,22.052
asterisk,rev_14,STARTS,21.84
asterisk,rev_14,Ekstazi,22.135
imaging,rev_14,STARTS,22.078
imaging,rev_14,Ekstazi,22.136
asterisk,rev_15,STARTS,8.175
asterisk,rev_15,Ekstazi,8.131
validator,rev_15,STARTS,7.798
validator,rev_15,Ekstazi,8.168
asterisk,rev_16,STARTS,21.695
asterisk,rev_16,Ekstazi,21.014
imaging,rev_17,STARTS,22.618
imaging,rev_17,Ekstazi,23.43
asterisk,rev_18,STARTS,21.663
asterisk,rev_18,Ekstazi,22.011
imaging,rev_18,STARTS,21.378
imaging,rev_18,Ekstazi,21.99
imaging,rev_19,STARTS,7.782
imaging,rev_19,Ekstazi,8.086
asterisk,rev_2,STARTS,21.687
asterisk,rev_2,Ekstazi,21.736
asterisk,rev_20,STARTS,22.115
asterisk,rev_20,Ekstazi,22.077
imaging,rev_20,STARTS,7.863
imaging,rev_20,Ekstazi,7.668
asterisk,rev_21,STARTS,7.947
asterisk,rev_21,Ekstazi,7.812
asterisk,rev_25,STARTS,22.083
asterisk,rev_25,Ekstazi,22.216
validator,rev_25,STARTS,8.252
validator,rev_25,Ekstazi,8.016
asterisk,rev_26,STARTS,8.407
asterisk,rev_26,Ekstazi,7.733
validator,rev_26,STARTS,7.569
validator,rev_26,Ekstazi,7.888
asterisk,rev_27,STARTS,7.989
asterisk,rev_27,Ekstazi,8.828
imaging,rev_27,STARTS,7.645
imaging,rev_27,Ekstazi,8.407
asterisk,rev_28,STARTS,9.226
asterisk,rev_28,Ekstazi,7.478
validator,rev_28,STARTS,21.541
validator,rev_28,Ekstazi,21.83
validator,rev_29,STARTS,22.342
validator,rev_29,Ekstazi,21.895
asterisk,rev_30,STARTS,22.123
asterisk,rev_30,Ekstazi,22.5
validator,rev_30,STARTS,8.479
validator,rev_30,Ekstazi,8.285
asterisk,rev_31,STARTS,22.021
asterisk,rev_31,Ekstazi,23.107
asterisk,rev_32,STARTS,23.381
asterisk,rev_32,Ekstazi,22.986
imaging,rev_32,STARTS,21.737
imaging,rev_32,Ekstazi,21.894
imaging,rev_35,STARTS,22.178
imaging,rev_35,Ekstazi,22.379
validator,rev_39,STARTS,22.089
validator,rev_39,Ekstazi,22.11
asterisk,rev_4,STARTS,22.163
asterisk,rev_4,Ekstazi,22.189
validator,rev_40,STARTS,24.473
validator,rev_40,Ekstazi,22.153
validator,rev_41,STARTS,22.789
validator,rev_41,Ekstazi,21.369
validator,rev_42,STARTS,22.406
validator,rev_42,Ekstazi,22.196
imaging,rev_43,STARTS,21.798
imaging,rev_43,Ekstazi,22.011
validator,rev_44,STARTS,21.582
validator,rev_44,Ekstazi,22.307
validator,rev_45,STARTS,21.858
validator,rev_45,Ekstazi,21.219
validator,rev_46,STARTS,29.799
validator,rev_46,Ekstazi,22.073
imaging,rev_47,STARTS,22.125
imaging,rev_47,Ekstazi,21.877
imaging,rev_48,STARTS,8.741
imaging,rev_48,Ekstazi,8.35
asterisk,rev_5,STARTS,8.045
asterisk,rev_5,Ekstazi,7.645
imaging,rev_5,STARTS,22.874
imaging,rev_5,Ekstazi,22.563
validator,rev_50,STARTS,9.044
validator,rev_50,Ekstazi,8.121
imaging,rev_50,STARTS,22.146
imaging,rev_50,Ekstazi,22.046
asterisk,rev_6,STARTS,8.404
asterisk,rev_6,Ekstazi,7.74
imaging,rev_6,STARTS,22.261
imaging,rev_6,Ekstazi,22.304
asterisk,rev_7,STARTS,22.504
asterisk,rev_7,Ekstazi,22.102
imaging,rev_7,STARTS,8.574
imaging,rev_7,Ekstazi,8.277
imaging,rev_8,STARTS,7.882
imaging,rev_8,Ekstazi,7.947
asterisk,rev_8,STARTS,22.297
asterisk,rev_8,Ekstazi,22.192
imaging,rev_9,STARTS,8.443
imaging,rev_9,Ekstazi,8.412
validator,rev_9,STARTS,21.758
validator,rev_9,Ekstazi,22.229
